full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Ismail Qamoum,24,836002800,Botola Pro,2019/2020,Goalkeeper,Hassania Agadir,90,0,90,Morocco,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,17
Issa Sioudi,22,874710000,Botola Pro,2019/2020,Goalkeeper,Wydad Casablanca,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Issam Benbouabdellah,0,0,Botola Pro,2019/2020,Midfielder,CR Khemis Zemamra,1541,630,911,Morocco,18,7,10,0,0,0,0,0,0,0,0,2,2,0,23,7,16,1,0,0,0,0,0,0,0,1.34,67,86,1541,0,0.06,225,305,-1,25
Issam Boudali,32,567993600,Botola Pro,2019/2020,Forward,Olympic Safi,810,468,342,Morocco,15,5,4,1,0,1,0,0,0,0,0,7,6,1,5,1,4,2,0,0.11,0,0.11,0,0.26,810,0.56,162,54,405,0,0.22,95,206,-1,9
Issam Lahlafi,30,620089200,Botola Pro,2019/2020,Goalkeeper,Youssoufia Berrechid,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Issoufou Dayo,29,681433200,Botola Pro,2019/2020,Defender,RSB Berkane,1399,859,540,Burkina Faso,16,10,6,2,1,1,0,0,0,0,0,7,3,4,12,7,5,7,1,0.13,0,0.13,0.1,0.17,700,0.77,117,87,200,0,0.45,83,15,53,4
Jaafar Lghar,31,615942000,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,549,315,234,Morocco,9,3,3,0,0,0,0,0,0,0,0,2,2,0,7,4,3,0,0,0,0,0,0,0,0,1.15,78,61,0,0,0,309,262,-1,26
Jacques Bakulu Bitumb,26,746492400,Botola Pro,2019/2020,Forward,Khouribga,526,240,286,Congo DR,7,3,3,0,0,0,0,0,0,0,0,2,1,1,7,5,2,0,0,0,0,0,0,0,0,1.2,75,75,0,0,0,285,232,-1,27
Jad Assouab,25,790560000,Botola Pro,2019/2020,Defender,Raja Beni Mellal,1083,633,450,Morocco,13,7,5,0,0,0,0,0,0,0,0,3,3,0,18,11,7,2,0,0,0,0,0,0,0,1.5,60,83,542,0,0.17,305,266,118,30
Jalal Tachtach,26,773190000,Botola Pro,2019/2020,Midfielder,Khouribga,866,390,476,Morocco,12,5,6,1,0,1,0,0,0,0,0,5,4,1,7,1,6,3,1,0.1,0,0.1,0,0.19,866,0.73,124,72,289,0,0.31,96,228,-1,5
Jamaa Marzougui,21,904950000,Botola Pro,2019/2020,Forward,FAR Rabat,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jamal Ayoub,0,0,Botola Pro,2019/2020,Forward,CR Khemis Zemamra,17,6,11,Morocco,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5.29,0,5.29,15,0,17,0,0,6,0,0,0,-1,-1,-1,8
Jamal Ech-Chammakh,0,0,Botola Pro,2019/2020,Midfielder,Hassania Agadir,698,394,304,Morocco,10,4,3,0,0,0,0,0,0,0,0,2,2,0,11,5,6,2,0,0,0,0,0,0,0,1.42,63,70,349,0,0.26,163,82,-1,12
Jamal Harkass,24,817171200,Botola Pro,2019/2020,Defender,Mouloudia Oujda,1186,487,699,Morocco,14,6,8,0,0,0,0,0,0,0,0,6,3,3,8,3,5,6,1,0,0,0,0,0,0,0.61,148,85,198,0,0.46,293,245,25,24
Jawad Ghabra,25,784339200,Botola Pro,2019/2020,Forward,CR Khemis Zemamra,1212,643,569,Morocco,22,8,6,2,2,0,0,0,0,0,0,3,3,0,21,9,12,3,0,0.15,0,0.15,0.28,0,606,1.56,58,55,404,0,0.22,76,306,-1,5
Jawad Khallouki,0,0,Botola Pro,2019/2020,Defender,Difaâ El Jadida,512,288,224,Morocco,7,3,2,0,0,0,0,0,0,0,0,1,1,0,7,3,4,0,0,0,0,0,0,0,0,1.23,73,73,0,0,0,279,65,95,18
Jean-Joseph Kombous,25,799196400,Botola Pro,2019/2020,Forward,FUS Rabat,1376,642,734,Cameroon,19,8,9,6,3,3,0,0,0,2,0,5,3,2,15,9,6,1,0,0.39,0,0.39,0.42,0.37,229,0.98,92,72,1376,0,0.07,18,189,-1,1
Joel Madondo,22,890870400,Botola Pro,2019/2020,Forward,Wydad Casablanca,51,0,51,Uganda,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.76,51,51,0,0,0,-1,-1,-1,18
Jonathan Ifunga Ifasso,21,921024000,Botola Pro,2019/2020,Midfielder,Difaâ El Jadida,573,312,261,Congo DR,12,4,3,1,0,1,0,0,0,0,0,4,3,1,4,1,3,1,0,0.16,0,0.16,0,0.34,573,0.63,143,48,573,0,0.16,73,68,-1,8
Joseph Guédé Gnadou,0,0,Botola Pro,2019/2020,Forward,FAR Rabat,1400,798,602,Côte d'Ivoire,17,9,7,8,4,4,0,0,0,0,0,4,3,1,14,6,8,6,0,0.51,0,0.51,0.45,0.6,175,0.9,100,82,233,0,0.39,10,165,-1,1
Kamal Ait El Haj,36,452818800,Botola Pro,2019/2020,Midfielder,Ittihad Tanger,410,230,180,Morocco,5,3,2,0,0,0,0,0,0,0,0,2,1,1,6,5,1,0,0,0,0,0,0,0,0,1.32,68,82,0,0,0,258,198,-1,26
Kamal Belarbi,0,0,Botola Pro,2019/2020,Midfielder,Moghreb Tétouan,15,0,15,Morocco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,-1,-1,-1,30
Karim Ait Mohamed,20,948931200,Botola Pro,2019/2020,Midfielder,Hassania Agadir,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Karim Ait Mohamed,20,948931200,Botola Pro,2019/2020,Midfielder,Hassania Agadir,844,422,422,Morocco,12,5,5,0,0,0,0,0,0,0,0,1,1,0,14,6,8,0,0,0,0,0,0,0,0,1.49,60,70,0,0,0,197,95,-1,14
Karim Benarif,27,727488000,Botola Pro,2019/2020,Midfielder,FUS Rabat,33,0,33,Morocco,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.73,33,17,0,0,0,-1,-1,-1,25
Karim El Berkaoui,25,796431600,Botola Pro,2019/2020,Forward,Hassania Agadir,1091,647,444,Morocco,16,7,4,8,3,5,0,0,0,3,0,1,1,0,14,8,6,1,0,0.66,0,0.66,0.42,1.01,136,1.15,78,68,1091,0,0.08,2,94,-1,1
Karim El Hany,32,568944000,Botola Pro,2019/2020,Midfielder,Mouloudia Oujda,1363,456,907,France,17,4,11,0,0,0,0,0,0,0,0,6,3,3,8,2,6,5,1,0,0,0,0,0,0,0.53,170,80,273,0,0.33,294,244,-1,23
Karim Hachimi,24,823478400,Botola Pro,2019/2020,Forward,Youssoufia Berrechid,1091,577,514,Morocco,14,8,6,1,1,0,0,0,0,0,0,2,1,1,19,10,9,2,0,0.08,0,0.08,0.16,0,1091,1.57,57,78,546,0,0.16,107,282,-1,9
Kassi Akesse Mathias,33,532915200,Botola Pro,2019/2020,Defender,Khouribga,765,405,360,Côte d'Ivoire,9,5,4,0,0,0,0,0,0,0,0,2,1,1,10,5,5,3,1,0,0,0,0,0,0,1.18,77,85,255,0,0.35,187,201,91,33
Kazadi Kasengu,28,711586800,Botola Pro,2019/2020,Forward,Wydad Casablanca,648,378,270,Congo DR,8,4,3,4,3,1,0,0,0,0,0,0,0,0,10,4,6,0,0,0.56,0,0.56,0.71,0.33,162,1.39,65,81,0,0,0,6,89,-1,1
Khalid Ait Ouarkhane,20,956358000,Botola Pro,2019/2020,Midfielder,FAR Rabat,9,3,6,Morocco,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,-1,12
Khalid El Ghafouli,26,765759600,Botola Pro,2019/2020,Defender,Rapide Oued Zem,626,439,187,Morocco,9,5,2,0,0,0,0,0,0,0,0,3,1,2,6,5,1,0,0,0,0,0,0,0,0,0.86,104,70,0,0,0,164,97,59,10
Khalid Kbiri Alaoui,24,835916400,Botola Pro,2019/2020,Goalkeeper,Raja Beni Mellal,720,540,180,Morocco,8,6,2,0,0,0,0,0,0,0,0,2,2,0,11,9,2,0,0,0,0,0,0,0,0,1.38,65,90,0,0,0,303,267,111,6
Khalid Serroukh,30,641257200,Botola Pro,2019/2020,Midfielder,Khouribga,1114,557,557,Morocco,16,7,6,1,1,0,0,0,0,0,0,5,3,2,13,8,5,0,0,0.08,0,0.08,0.16,0,1114,1.05,86,70,0,0,0,104,235,-1,6
Khalid Tahiri,0,0,Botola Pro,2019/2020,Defender,Difaâ El Jadida,99,90,9,Morocco,5,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0.91,99,20,0,0,0,-1,-1,-1,20
Khalil Benhomes,30,630979200,Botola Pro,2019/2020,Defender,Moghreb Tétouan,734,418,316,Morocco,9,5,4,0,0,0,0,0,0,0,0,6,4,2,5,2,3,0,0,0,0,0,0,0,0,0.61,147,82,0,0,0,315,56,24,19
Koffi Davy Mahinde Boua,33,527554800,Botola Pro,2019/2020,Forward,Olympic Safi,840,542,298,Côte d'Ivoire,14,6,3,1,1,0,0,0,0,1,0,6,5,1,3,1,2,0,0,0.11,0,0.11,0.17,0,840,0.32,280,60,0,0,0,92,209,-1,6
Lahcen Dahdouh,0,0,Botola Pro,2019/2020,Midfielder,CR Khemis Zemamra,114,37,77,Morocco,5,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0.79,0,0.79,0,1.17,114,0.79,114,23,114,0,0.79,-1,-1,-1,11
Lamina Diakité,29,676940400,Botola Pro,2019/2020,Midfielder,Mouloudia Oujda,1460,564,896,Côte d'Ivoire,17,6,10,2,2,0,0,0,0,0,0,5,3,2,11,3,8,7,2,0.12,0,0.12,0.32,0,730,0.68,133,86,209,0,0.43,89,273,-1,5
Larbi Naji,29,660960000,Botola Pro,2019/2020,Midfielder,RSB Berkane,1170,720,450,Morocco,13,8,5,0,0,0,0,0,0,0,0,7,3,4,7,6,1,6,0,0,0,0,0,0,0,0.54,167,90,195,0,0.46,211,2,-1,19
Laurent Junior Magby Gbagbo,26,755827200,Botola Pro,2019/2020,Forward,Wydad Casablanca,59,20,39,Côte d'Ivoire,3,0,0,2,0,2,0,0,0,0,0,1,0,1,3,1,2,0,0,3.05,0,3.05,0,4.62,30,4.58,20,20,0,0,0,-1,-1,-1,4
Maati Allali,30,629510400,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,1223,720,503,Morocco,15,8,5,0,0,0,0,0,0,0,0,4,3,1,17,11,6,1,0,0,0,0,0,0,0,1.25,72,82,1223,0,0.07,310,261,-1,25
Maati Tamayazou,23,868489200,Botola Pro,2019/2020,Midfielder,Raja Casablanca,180,53,127,Morocco,4,1,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5,180,45,0,0,0,-1,-1,-1,14
Mahamadou Bamba N'Diaye,30,648514800,Botola Pro,2019/2020,Defender,FUS Rabat,183,180,3,Mali,6,2,0,0,0,0,0,0,0,0,0,4,2,2,1,1,0,2,1,0,0,0,0,0,0,0.49,183,31,92,0,0.98,-1,-1,-1,20
Mahdi Benabid,22,885600000,Botola Pro,2019/2020,Goalkeeper,FUS Rabat,630,360,270,Morocco,7,4,3,0,0,0,0,0,0,0,0,1,1,0,10,6,4,1,0,0,0,0,0,0,0,1.43,63,90,630,0,0.14,244,168,114,10
Mahmoud Benhalib,24,827539200,Botola Pro,2019/2020,Forward,Raja Casablanca,148,46,102,Morocco,3,1,2,2,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,1.22,0,1.22,0,1.76,74,0.61,148,49,0,0,0,-1,-1,-1,5
Majid Samih,22,901926000,Botola Pro,2019/2020,Forward,FUS Rabat,32,0,32,Morocco,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16,32,0,2.81,-1,-1,-1,13
Malick Cisse,26,770943600,Botola Pro,2019/2020,Forward,Hassania Agadir,732,394,338,Senegal,11,5,4,1,0,1,0,0,0,0,0,2,1,1,9,5,4,1,0,0.12,0,0.12,0,0.27,732,1.11,81,67,732,0,0.12,86,44,-1,10
Marouane Hadhoudi,28,697939200,Botola Pro,2019/2020,Defender,Difaâ El Jadida,1290,840,450,Morocco,15,10,5,1,1,0,0,0,0,0,0,5,5,0,10,4,6,5,0,0.07,0,0.07,0.11,0,1290,0.7,129,86,258,0,0.35,113,64,42,4
Martín Bengoa Díez,25,785376000,Botola Pro,2019/2020,Midfielder,Moghreb Tétouan,1077,526,551,Spain,14,6,6,0,0,0,0,0,0,0,0,7,6,1,6,1,5,3,0,0,0,0,0,0,0,0.5,180,77,359,0,0.25,222,222,-1,26
Marwan Louadni,0,0,Botola Pro,2019/2020,Defender,FUS Rabat,319,139,180,Morocco,4,2,2,0,0,0,0,0,0,0,0,0,0,0,8,5,3,3,1,0,0,0,0,0,0,2.26,40,80,106,0,0.85,302,271,133,15
Mehdi Attouchi,25,793843200,Botola Pro,2019/2020,Defender,Olympic Safi,321,136,185,Morocco,7,2,2,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0.56,161,46,0,0,0,194,204,18,16
Mehdi Belaroussi,30,630547200,Botola Pro,2019/2020,Defender,Moghreb Tétouan,281,90,191,Morocco,5,1,2,1,1,0,0,0,0,0,0,3,2,1,2,0,2,0,0,0.32,0,0.32,1,0,281,0.64,141,56,0,0,0,27,175,28,9
Mehdi Bellarabi,0,0,Botola Pro,2019/2020,Goalkeeper,FUS Rabat,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Mehdi Bettache,25,799455600,Botola Pro,2019/2020,Midfielder,FUS Rabat,261,152,109,Morocco,7,2,1,1,1,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0.34,0,0.34,0.59,0,261,1.72,52,37,0,0,0,-1,-1,-1,7
Mehdi El Jourbaoui,27,726278400,Botola Pro,2019/2020,Goalkeeper,CR Khemis Zemamra,675,315,360,Morocco,8,3,4,0,0,0,0,0,0,0,0,0,0,0,12,5,7,1,0,0,0,0,0,0,0,1.6,56,84,675,0,0.13,220,308,123,18
Mehdi Khalis,31,600048000,Botola Pro,2019/2020,Defender,Olympic Safi,1530,720,810,Morocco,17,8,9,2,0,2,0,0,0,0,0,7,5,2,13,4,9,5,0,0.12,0,0.12,0,0.22,765,0.76,118,90,306,0,0.29,91,215,51,4
Mehdi Khallati,29,665884800,Botola Pro,2019/2020,Defender,Ittihad Tanger,935,395,540,Morocco,11,5,6,0,0,0,0,0,0,0,0,3,2,1,14,3,11,1,0,0,0,0,0,0,0,1.35,67,85,935,0,0.1,206,118,110,12
Mehdi Lemzaouri,27,741999600,Botola Pro,2019/2020,Defender,CR Khemis Zemamra,1124,621,503,Morocco,15,7,6,1,0,1,0,0,0,0,0,1,1,0,16,10,6,2,1,0.08,0,0.08,0,0.18,1124,1.28,70,75,375,0,0.24,103,315,104,7
Mehdi Maftah,27,744937200,Botola Pro,2019/2020,Goalkeeper,Mouloudia Oujda,874,450,424,Morocco,10,5,4,0,0,0,0,0,0,0,0,2,2,0,8,3,5,0,0,0,0,0,0,0,0,0.82,109,87,0,0,0,300,268,56,9
Mehdi Malih,20,943920000,Botola Pro,2019/2020,Midfielder,RSB Berkane,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Mehdi Mesyaf,29,666576000,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,844,450,394,Morocco,10,5,5,0,0,0,0,0,0,0,0,2,2,0,14,7,7,2,0,0,0,0,0,0,0,1.49,60,84,422,0,0.21,314,57,-1,17
Mehdi Moufaddal,26,764726400,Botola Pro,2019/2020,Defender,Rapide Oued Zem,563,175,388,Morocco,7,2,5,0,0,0,0,0,0,0,0,4,1,3,4,2,2,1,0,0,0,0,0,0,0,0.64,141,80,563,0,0.16,280,60,29,14
Mehdi Naghmi,31,593391600,Botola Pro,2019/2020,Forward,Mouloudia Oujda,853,278,575,Morocco,17,2,6,2,0,2,0,0,0,1,0,4,3,1,7,1,6,3,0,0.21,0,0.21,0,0.31,427,0.74,122,50,284,0,0.32,49,274,-1,7
Mehdi Oubilla,28,714006000,Botola Pro,2019/2020,Midfielder,Hassania Agadir,900,540,360,Morocco,10,6,4,2,1,1,0,0,0,0,0,2,1,1,10,6,4,5,0,0.2,0,0.2,0.17,0.25,450,1,90,90,180,0,0.5,50,41,-1,2
Mehdi Talbi,0,0,Botola Pro,2019/2020,Defender,Youssoufia Berrechid,385,205,180,Morocco,5,3,2,0,0,0,0,0,0,0,0,2,2,0,3,1,2,1,0,0,0,0,0,0,0,0.7,128,77,385,0,0.23,154,152,43,17
Mehdi Zaya,24,828313200,Botola Pro,2019/2020,Defender,Khouribga,879,447,432,Morocco,13,5,5,0,0,0,0,0,0,0,0,3,2,1,13,7,6,2,0,0,0,0,0,0,0,1.33,68,68,440,0,0.2,282,20,107,17
Michael Babatunde,27,725155200,Botola Pro,2019/2020,Midfielder,Wydad Casablanca,189,104,85,Nigeria,4,1,1,3,1,2,0,0,0,0,0,2,1,1,0,0,0,3,0,1.43,0,1.43,0.87,2.12,63,0,0,47,63,0,1.43,-1,-1,-1,2
Mohamed Akid,27,715561200,Botola Pro,2019/2020,Goalkeeper,Rapide Oued Zem,1703,900,803,Morocco,19,10,9,0,0,0,0,0,0,0,0,8,4,4,12,6,6,3,1,0,0,0,0,0,0,0.63,142,90,568,0,0.16,228,301,27,16
Mohamed Al Idrissi,27,737593200,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,1098,577,521,Morocco,13,6,6,0,0,0,0,0,0,0,0,4,3,1,15,8,7,2,1,0,0,0,0,0,0,1.23,73,84,366,0,0.25,308,263,-1,27
Mohamed Al Makahasi,25,791942400,Botola Pro,2019/2020,Midfielder,Raja Casablanca,1013,531,482,Morocco,16,7,5,0,0,0,0,0,0,0,0,9,5,4,7,2,5,2,0,0,0,0,0,0,0,0.62,145,63,507,0,0.18,214,218,-1,9
Mohamed Ali Ahacha Manali,0,0,Botola Pro,2019/2020,Defender,Moghreb Tétouan,645,367,278,Morocco,9,4,3,0,0,0,0,0,0,0,0,4,3,1,5,2,3,2,0,0,0,0,0,0,0,0.7,129,72,323,0,0.28,202,147,41,10
Mohamed Ali Benhsain,24,835916400,Botola Pro,2019/2020,Forward,Olympic Safi,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Mohamed Amsif,31,602812800,Botola Pro,2019/2020,Goalkeeper,FUS Rabat,1260,450,810,Morocco,14,5,9,0,0,0,0,0,0,0,0,6,2,4,6,3,3,3,0,0,0,0,0,0,0,0.43,210,90,420,0,0.21,292,269,6,14
Mohamed Askari,32,579222000,Botola Pro,2019/2020,Midfielder,Rapide Oued Zem,132,115,17,Morocco,5,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,1,0,0,0,0,0,0,0,1.36,66,26,132,0,0.68,-1,-1,-1,11
Mohamed Askender,0,0,Botola Pro,2019/2020,Midfielder,Difaâ El Jadida,119,100,19,Morocco,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.51,60,40,0,0,0,-1,-1,-1,13
Mohamed Ayman Sadil,26,771202800,Botola Pro,2019/2020,Defender,Ittihad Tanger,571,225,346,Morocco,8,3,4,0,0,0,0,0,0,0,0,2,2,0,12,2,10,3,1,0,0,0,0,0,0,1.89,48,71,143,0,0.63,261,294,131,21
Mohamed Baayou,27,726710400,Botola Pro,2019/2020,Goalkeeper,FAR Rabat,1530,900,630,Morocco,17,10,7,0,0,0,0,0,0,0,0,5,4,1,15,7,8,1,0,0,0,0,0,0,0,0.88,102,90,1530,0,0.06,241,173,62,8
Mohamed Ben Hssaine,23,863391600,Botola Pro,2019/2020,Forward,Hassania Agadir,188,12,176,Morocco,8,0,2,0,0,0,0,0,0,0,0,2,1,1,3,0,3,0,0,0,0,0,0,0,0,1.44,63,24,0,0,0,-1,-1,-1,21
Mohamed Bentarcha,0,0,Botola Pro,2019/2020,Midfielder,RSB Berkane,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Mohamed Bouamira,32,572400000,Botola Pro,2019/2020,Goalkeeper,Raja Casablanca,450,180,270,Morocco,5,2,3,0,0,0,0,0,0,0,0,1,0,1,5,3,2,0,0,0,0,0,0,0,0,1,90,90,0,0,0,183,130,79,10
Mohamed Boujad,32,572745600,Botola Pro,2019/2020,Goalkeeper,Mouloudia Oujda,832,180,652,Morocco,10,2,8,0,0,0,0,0,0,0,0,4,1,3,5,1,4,1,1,0,0,0,0,0,0,0.54,166,83,416,0,0.22,237,247,16,18
Mohamed Cheikhi,26,759542400,Botola Pro,2019/2020,Defender,Youssoufia Berrechid,451,156,295,Morocco,6,2,4,0,0,0,0,0,0,0,0,0,0,0,9,5,4,2,0,0,0,0,0,0,0,1.8,50,75,226,0,0.4,198,153,128,13
Mohamed Chibi,27,727574400,Botola Pro,2019/2020,Defender,Ittihad Tanger,286,160,126,Morocco,6,1,1,0,0,0,0,0,0,0,0,1,0,1,6,5,1,0,0,0,0,0,0,0,0,1.89,48,48,0,0,0,166,109,130,8
Mohamed Douik,21,920246400,Botola Pro,2019/2020,Midfielder,Raja Casablanca,280,259,21,Morocco,7,3,0,0,0,0,0,0,0,0,0,3,2,1,2,2,0,1,1,0,0,0,0,0,0,0.64,140,40,140,0,0.64,203,143,-1,16
Mohamed El Amraoui,27,725932800,Botola Pro,2019/2020,Defender,Ittihad Tanger,234,90,144,Morocco,5,1,1,1,1,0,0,0,0,1,0,1,0,1,4,4,0,0,0,0.38,0,0.38,1,0,234,1.54,59,47,0,0,0,-1,-1,-1,5
Mohamed El Helou,0,0,Botola Pro,2019/2020,Goalkeeper,Youssoufia Berrechid,90,0,90,Morocco,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,12
Mohamed El Jaaouani,25,777596400,Botola Pro,2019/2020,Defender,Rapide Oued Zem,771,585,186,Morocco,12,8,3,0,0,0,0,0,0,0,0,6,3,3,3,3,0,6,0,0,0,0,0,0,0,0.35,257,64,129,0,0.7,262,249,5,17
Mohamed El Yousfi,29,664156800,Botola Pro,2019/2020,Goalkeeper,Difaâ El Jadida,1260,810,450,Morocco,14,9,5,0,0,0,0,0,0,0,0,6,5,1,8,3,5,1,0,0,0,0,0,0,0,0.57,158,90,1260,0,0.07,272,70,19,11
Mohamed Ferni,0,0,Botola Pro,2019/2020,Goalkeeper,Khouribga,540,270,270,Morocco,6,3,3,0,0,0,0,0,0,0,0,2,1,1,7,2,5,0,0,0,0,0,0,0,0,1.17,77,90,0,0,0,299,227,89,20
Mohamed Fikri,26,751071600,Botola Pro,2019/2020,Forward,FAR Rabat,717,380,337,Morocco,15,4,4,3,1,2,0,0,0,0,0,4,3,1,9,4,5,2,0,0.38,0,0.38,0.24,0.53,239,1.13,80,48,359,0,0.25,20,164,-1,4
Mohamed Hamdane,32,582073200,Botola Pro,2019/2020,Midfielder,CR Khemis Zemamra,1261,635,626,Morocco,17,8,7,0,0,0,0,0,0,0,0,2,2,0,19,8,11,2,0,0,0,0,0,0,0,1.36,66,74,631,0,0.14,142,35,-1,13
Mohamed Hamza Hajjar,0,0,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,1015,613,402,Morocco,12,7,5,0,0,0,0,0,0,0,0,5,4,1,10,6,4,2,0,0,0,0,0,0,0,0.89,102,85,508,0,0.18,311,260,-1,24
Mohamed Kamal,24,814492800,Botola Pro,2019/2020,Midfielder,CR Khemis Zemamra,588,193,395,Morocco,10,2,4,3,1,2,0,0,0,0,0,0,0,0,11,4,7,1,0,0.46,0,0.46,0.47,0.46,196,1.68,53,59,588,0,0.15,11,141,-1,4
Mohamed Lahlali,26,746406000,Botola Pro,2019/2020,Forward,Khouribga,87,78,9,Morocco,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,3.1,29,22,87,0,1.03,-1,-1,-1,18
Mohamed Morabit,21,905468400,Botola Pro,2019/2020,Midfielder,Olympic Safi,1665,860,805,Morocco,19,10,9,1,1,0,0,0,0,0,0,8,6,2,16,7,9,1,0,0.05,0,0.05,0.1,0,1665,0.86,104,88,1665,0,0.05,122,211,-1,5
Mohamed Morad Naji,29,651452400,Botola Pro,2019/2020,Defender,Olympic Safi,1313,773,540,Morocco,15,9,6,0,0,0,0,0,0,0,0,8,7,1,10,3,7,3,0,0,0,0,0,0,0,0.69,131,88,438,0,0.21,165,214,39,21
Mohamed Moufid,0,0,Botola Pro,2019/2020,Defender,FAR Rabat,180,90,90,Morocco,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,24
Mohamed Ouattara,21,930524400,Botola Pro,2019/2020,Goalkeeper,CR Khemis Zemamra,8,0,8,Côte d'Ivoire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,-1,-1,-1,20
Mohamed Rouhi,24,820454400,Botola Pro,2019/2020,Midfielder,Rapide Oued Zem,796,412,384,Morocco,14,4,4,1,1,0,0,0,0,0,0,6,3,3,6,2,4,2,0,0.11,0,0.11,0.22,0,796,0.68,133,57,398,0,0.23,94,254,-1,7
Mohamed Said,0,0,Botola Pro,2019/2020,Goalkeeper,Moghreb Tétouan,90,90,0,Morocco,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90,90,0,1,-1,-1,-1,12
Mohamed Saidi,25,781743600,Botola Pro,2019/2020,Defender,FUS Rabat,329,129,200,Morocco,7,1,2,0,0,0,0,0,0,0,0,2,1,1,4,3,1,3,1,0,0,0,0,0,0,1.09,82,47,82,0,1.09,252,186,83,19
Mohamed Saoud,24,822960000,Botola Pro,2019/2020,Defender,FUS Rabat,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
